"Borrower ID","Product","Acquired","Market","Type of loan","Term","Loan size","Loan status","Borrower origination fee","Borrower rate","Loan servicing fee","Investor rate","Transaction price","Transaction date","Amount invested","Capital outstanding","Interest outstanding","Amount repaid","Capital repaid","Interest repaid","Amount in arrears","Days in arrears","Repayment day","Covered by Safeguard","Comment","Loan start date","Last repayment date","Default price","Default date","Monthly repayment amount","Type of asset","Loan purpose","Percentage repaid"
"cd1eb9801ee2","Zopa Plus","31-10-2019","A*","Unsecured","60","8000.0","Withdrawn","0.0","0.0294","0.003","0.0264","","","10.0","9.3774595","0.59302777959615","0.70746746","0.6225405","0.08492696","0.0","","31","false","","31-10-2019","31-10-2024","","","0.1792478","","Other","0.06225405"
"2e5cc386c5fb","Zopa Plus","02-11-2019","B","Unsecured","36","12500.0","Closed","650.0","0.0814","0.003","0.0784","","","10.0","0.0","0.0","10.01888589","10.0","0.01888589","0.0","","2","false","[11/11/2019] Early Settlement made via debit card.","02-11-2019","02-11-2022","","","0.31267777","","Other","1.0"
"410bad35164b","Zopa Plus","05-11-2019","A*","Unsecured","48","6000.0","Withdrawn","0.0","0.0344","0.003","0.0314","","","10.0","9.21736193","0.545089057619612","0.88280656","0.78263807","0.10016849","0.0","","5","false","","05-11-2019","05-11-2023","","","0.22305749","","Car","0.078263807"
"4f494889afbb","Zopa Plus","05-11-2019","A*","Unsecured","60","15000.0","Withdrawn","0.0","0.0294","0.003","0.0264","","","10.0","9.3774595","0.59302777959615","0.70746746","0.6225405","0.08492696","0.0","","5","false","","05-11-2019","05-11-2024","","","0.1792478","","Home improvements","0.06225405"
"52c9d0ba299d","Zopa Plus","06-11-2019","A*","Unsecured","60","7500.0","Withdrawn","0.0","0.0294","0.003","0.0264","","","10.0","9.3774595","0.59302777959615","0.70746746","0.6225405","0.08492696","0.0","","6","false","","06-11-2019","06-11-2024","","","0.1792478","","Other","0.06225405"
"7a1904f0180e","Zopa Plus","01-04-2019","A*","Unsecured","60","25000.0","Withdrawn","60.0","0.0294","0.003","0.0264","","","10.0","8.27343965","0.457692085717614","1.94700505","1.72656035","0.2204447","0.0","","1","false","","01-04-2019","01-04-2024","","","0.1792478","","Home improvements","0.172656035"
"kchartres","Zopa Plus","02-04-2019","A*","Unsecured","36","25000.0","Withdrawn","40.0","0.0293","0.003","0.0263","","","10.0","7.03583417","0.199724111913108","3.17044825","2.96416583","0.20628242","0.0","","2","false","","02-04-2019","02-04-2022","","","0.29033362","","Consolidate existing debts","0.296416583"
"2833de8a483c","Zopa Plus","14-12-2018","A*","Unsecured","60","5000.0","Withdrawn","40.0","0.031","0.006","0.025","17.50639558","14-12-2018","17.50639558","12.69186546","0.496205185488039","5.28648569","4.81453012","0.47195557","0.0","","1","false","","26-03-2018","01-04-2023","","","0.35987892","","Car","0.27501549922134"
"57e8d954a145","Zopa Plus","25-12-2018","A*","Unsecured","60","7000.0","Collections","60.0","0.0308","0.006","0.0248","8.75265849","25-12-2018","8.75265849","6.67114861","0.407496554028603","2.29605389","2.08150988","0.21454401","0.17985296","1-30 days","26","false","[26/02/2020] Borrower has been notified of missed payment.","21-04-2018","26-04-2023","","","0.17985296","","Car","0.23781458883356"
"ecad83e2498f","Zopa Plus","30-10-2019","A*","Unsecured","60","10000.0","Withdrawn","0.0","0.0314","0.006","0.0254","7.32179934","30-10-2019","7.32179934","3.66186069","0.151377852230754","3.72463568","3.65993865","0.06469703","0.0","","7","false","","07-05-2018","07-05-2023","","","0.1012894","","Car","0.49986874537864"
"c759e042f59a","Zopa Plus","13-08-2019","A-Sec","HirePurchase","36","10474.0","Withdrawn","0.0","0.069","0.0255","0.0435","10.0","13-08-2019","10.0","8.20905021","0.444069913913962","2.02081981","1.79094979","0.22987002","0.0","","13","false","","13-08-2019","13-08-2022","","","0.3073599","Auto","Car","0.179094979"
"3cf4976947b8","Zopa Plus","22-08-2019","A-Sec","HirePurchase","60","20189.0","Withdrawn","0.0","0.075","0.02","0.055","10.0","22-08-2019","10.0","9.01086612","1.134741578676982","1.26641262","0.98913388","0.27727874","0.0","","1","false","","21-08-2019","01-08-2024","","","0.19921209","Auto","Car","0.098913388"
"a505b42a9dfd","Zopa Plus","29-08-2019","A-Sec","HirePurchase","60","12495.0","Withdrawn","0.0","0.075","0.02","0.055","20.0","29-08-2019","20.0","18.30947708","2.35064797002137","2.23938869","1.69052292","0.54886577","0.0","","28","false","[29/10/2019] Replacement payment made via debit card.[29/10/2019] Borrower has been notified of missed payment.","28-08-2019","28-08-2024","","","0.39842419","Auto","Car","0.084526146"
"e64788d9a480","Zopa Plus","29-08-2019","A-Sec","HirePurchase","60","13328.0","Withdrawn","0.0","0.095","0.0254","0.0696","20.0","29-08-2019","20.0","18.38316461","2.999010539884457","2.32620664","1.61683539","0.70937125","0.0","","1","false","","28-08-2019","01-09-2024","","","0.4162341","Auto","Car","0.0808417695"
"7c533038b6b8","Zopa Plus","29-08-2019","A-Sec","HirePurchase","48","7000.0","Withdrawn","0.0","0.069","0.021","0.048","20.0","29-08-2019","20.0","17.78200311","1.539212827841479","2.66618414","2.21799689","0.44818725","0.0","","29","false","","29-08-2019","29-08-2023","","","0.47606242","Auto","Car","0.1108998445"
"31eeea9789fb","Zopa Plus","28-08-2019","A-Sec","HirePurchase","60","6745.0","Withdrawn","0.0","0.099","0.0286","0.0704","20.0","28-08-2019","20.0","18.39748725","3.0382521742602","2.26220046","1.60251275","0.65968771","0.0","","28","false","","28-08-2019","28-08-2024","","","0.41981536","Auto","Car","0.0801256375"
"72202b26d024","Zopa Plus","05-09-2019","A-Sec","HirePurchase","60","20000.0","Withdrawn","0.0","0.095","0.0254","0.0696","10.0","05-09-2019","10.0","9.1915823","1.49950526627907","1.13452269","0.8084177","0.32610499","0.0","","5","false","","05-09-2019","05-09-2024","","","0.20811705","Auto","Car","0.08084177"
"dc08a821c758","Zopa Plus","10-09-2019","A-Sec","HirePurchase","60","13694.0","Withdrawn","0.0","0.074","0.0202","0.0538","10.0","10-09-2019","10.0","9.15285013","1.149196026896591","1.10053176","0.84714987","0.25338189","0.0","","10","false","","10-09-2019","10-09-2024","","","0.19876905","Auto","Car","0.084714987"
"83d2b96bec09","Zopa Plus","26-09-2019","A-Sec","HirePurchase","60","14967.23","Withdrawn","0.0","0.109","0.0564","0.0526","10.0","26-09-2019","10.0","9.34979132","1.178465972496757","0.85874344","0.65020868","0.20853476","0.0","","26","false","","26-09-2019","26-09-2024","","","0.21439745","Auto","Car","0.065020868"
